Campo,Formato,Ejemplo,Valor por defecto o respuesta,,,,,
20/01/2020,desc 21,ARS,48,Gasto,Verdadero,Belleza,peluquero; manicura,nota 21
12/03/2021,desc 22,ARS,330,Gasto,,Educación,universidad; postgrado,nota 22
27/08/2022,desc 23,ARS,866,Gasto,Falso,Vehículo,mecanico,nota 23
23/01/2020,desc 24,ARS,696,Gasto,Verdadero,Transporte,sube,nota 24
08/12/2021,desc 25,ARS,730,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 25
07/09/2020,desc 26,USD,98,Gasto,,Recreación,,nota 26
05/03/2021,desc 27,ARS,435,Gasto,Verdadero,Deporte,,nota 27
25/02/2021,desc 28,ARS,492,Gasto,Falso,Vivienda,reparaciones,nota 28
23/04/2022,desc 29,ARS,923,Gasto,,Belleza,peluquero; manicura,nota 29
08/08/2022,desc 30,ARS,63,Gasto,Verdadero,Educación,universidad; postgrado,nota 30
05/08/2022,desc 31,USD,287,Gasto,Falso,Vehículo,mecanico,nota 31
17/01/2020,desc 32,ARS,408,Ingreso,Falso,Transporte,sube,nota 32
03/05/2021,desc 33,ARS,170,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 33
18/05/2022,desc 34,ARS,648,Gasto,Falso,Recreación,,nota 34
07/08/2020,desc 35,ARS,700,Gasto,Verdadero,Deporte,,nota 35
15/10/2022,desc 36,ARS,856,Gasto,,Vivienda,reparaciones,nota 36
05/01/2020,desc 37,ARS,42,Gasto,Verdadero,Belleza,peluquero; manicura,nota 37
17/11/2021,desc 38,ARS,870,Gasto,Verdadero,Educación,universidad; postgrado,nota 38
26/05/2021,desc 39,USD,954,Ingreso,Verdadero,Vehículo,mecanico,nota 39
16/06/2022,desc 40,ARS,50,Gasto,Falso,Transporte,sube,nota 40
03/10/2021,desc 41,ARS,98,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 41
12/07/2021,desc 42,ARS,447,Gasto,Falso,Recreación,,nota 42
22/03/2020,desc 43,ARS,570,Gasto,,Deporte,,nota 43
24/06/2020,desc 44,USD,575,Gasto,Verdadero,Vivienda,reparaciones,nota 44
16/06/2020,desc 45,ARS,903,Gasto,Falso,Belleza,peluquero; manicura,nota 45
04/03/2020,desc 46,ARS,246,Ingreso,,Educación,universidad; postgrado,nota 46
07/10/2022,desc 47,ARS,436,Gasto,Verdadero,Vehículo,mecanico,nota 47
11/08/2022,desc 48,ARS,34,Gasto,Falso,Transporte,sube,nota 48
12/03/2022,desc 49,ARS,250,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 49
11/03/2021,desc 50,ARS,864,Gasto,Verdadero,Recreación,,nota 50
24/06/2020,desc 51,ARS,108,Gasto,Falso,Deporte,,nota 51
21/01/2022,desc 52,USD,0,Gasto,Verdadero,Vivienda,reparaciones,nota 52
04/08/2022,desc 53,ARS,888,Ingreso,,Belleza,peluquero; manicura,nota 53
27/12/2020,desc 54,ARS,678,Gasto,Falso,Educación,universidad; postgrado,nota 54
03/02/2022,desc 55,ARS,596,Gasto,Verdadero,Vehículo,mecanico,nota 55
14/08/2021,desc 56,ARS,540,Gasto,,Transporte,sube,nota 56
10/09/2022,desc 57,USD,210,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 57
02/11/2022,desc 58,ARS,520,Gasto,Verdadero,Recreación,,nota 58
23/04/2020,desc 59,ARS,483,Gasto,Falso,Deporte,,nota 59
11/02/2021,desc 60,ARS,443,Ingreso,,Vivienda,reparaciones,nota 60
28/04/2021,desc 61,ARS,540,Gasto,Verdadero,Belleza,peluquero; manicura,nota 61
26/11/2020,desc 62,ARS,269,Gasto,Falso,Educación,universidad; postgrado,nota 62
20/08/2022,desc 63,ARS,343,Gasto,,Vehículo,mecanico,nota 63
03/04/2021,desc 64,ARS,897,Gasto,Verdadero,Transporte,sube,nota 64
22/12/2020,desc 65,USD,919,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 65
13/10/2020,desc 66,ARS,22,Gasto,Falso,Recreación,,nota 66
03/10/2020,desc 67,ARS,16,Ingreso,Verdadero,Deporte,,nota 67
28/10/2022,desc 68,ARS,773,Gasto,Falso,Vivienda,reparaciones,nota 68
06/12/2020,desc 69,ARS,511,Gasto,Verdadero,Belleza,peluquero; manicura,nota 69
24/06/2021,desc 70,USD,171,Gasto,,Educación,universidad; postgrado,nota 70
08/06/2022,desc 71,ARS,461,Gasto,Verdadero,Vehículo,mecanico,nota 71
17/11/2022,desc 72,ARS,864,Gasto,Verdadero,Transporte,sube,nota 72
24/10/2022,desc 73,ARS,69,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 73
01/01/2022,desc 74,ARS,707,Ingreso,Falso,Recreación,,nota 74
15/10/2020,desc 75,ARS,578,Gasto,Verdadero,Deporte,,nota 75
18/04/2020,desc 76,ARS,380,Gasto,Falso,Vivienda,reparaciones,nota 76
23/04/2022,desc 77,ARS,198,Gasto,,Belleza,peluquero; manicura,nota 77
26/08/2021,desc 78,USD,254,Gasto,Verdadero,Educación,universidad; postgrado,nota 78
23/02/2022,desc 79,ARS,615,Gasto,Falso,Vehículo,mecanico,nota 79
14/01/2022,desc 80,ARS,787,Gasto,,Transporte,sube,nota 80
05/06/2021,desc 81,ARS,533,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 81
24/10/2021,desc 82,ARS,900,Gasto,Falso,Recreación,,nota 82
16/07/2022,desc 83,USD,514,Gasto,Falso,Deporte,,nota 83
24/12/2020,desc 84,ARS,572,Gasto,Verdadero,Vivienda,reparaciones,nota 84
12/01/2022,desc 85,ARS,304,Gasto,Falso,Belleza,peluquero; manicura,nota 85
05/12/2020,desc 86,ARS,658,Gasto,Verdadero,Educación,universidad; postgrado,nota 86
01/04/2022,desc 87,ARS,812,Gasto,,Vehículo,mecanico,nota 87
18/05/2020,desc 88,ARS,842,Ingreso,Falso,Transporte,sube,nota 88
08/03/2020,desc 89,ARS,194,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 89
04/10/2021,desc 90,ARS,487,Gasto,,Recreación,,nota 90
17/09/2021,desc 91,USD,545,Gasto,Falso,Deporte,,nota 91
12/08/2021,desc 92,ARS,785,Gasto,Verdadero,Vivienda,reparaciones,nota 92
02/08/2022,desc 93,ARS,841,Gasto,Falso,Belleza,peluquero; manicura,nota 93
01/06/2021,desc 94,ARS,149,Gasto,,Educación,universidad; postgrado,nota 94
01/08/2021,desc 95,ARS,912,Ingreso,Verdadero,Vehículo,mecanico,nota 95
03/05/2022,desc 96,USD,845,Gasto,Falso,Transporte,sube,nota 96
17/07/2020,desc 97,ARS,804,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 97
18/08/2021,desc 98,ARS,841,Gasto,Verdadero,Recreación,,nota 98
12/08/2020,desc 99,ARS,338,Gasto,Falso,Deporte,,nota 99
17/04/2021,desc 100,ARS,179,Gasto,Falso,Vivienda,reparaciones,nota 100
24/06/2022,desc 101,ARS,325,Gasto,Verdadero,Belleza,peluquero; manicura,nota 101
26/05/2022,desc 102,ARS,432,Ingreso,Falso,Educación,universidad; postgrado,nota 102
05/02/2021,desc 103,ARS,989,Gasto,Verdadero,Vehículo,mecanico,nota 103
25/04/2022,desc 104,USD,351,Gasto,,Transporte,sube,nota 104
20/12/2020,desc 105,ARS,764,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 105
05/05/2022,desc 106,ARS,377,Gasto,Verdadero,Recreación,,nota 106
03/05/2021,desc 107,ARS,678,Gasto,Verdadero,Deporte,,nota 107
14/09/2022,desc 108,ARS,479,Gasto,Falso,Vivienda,reparaciones,nota 108
27/10/2021,desc 109,USD,158,Ingreso,Verdadero,Belleza,peluquero; manicura,nota 109
07/01/2022,desc 110,ARS,830,Gasto,Falso,Educación,universidad; postgrado,nota 110
19/04/2022,desc 111,ARS,623,Gasto,,Vehículo,mecanico,nota 111
01/05/2022,desc 112,ARS,17,Gasto,Verdadero,Transporte,sube,nota 112
27/11/2022,desc 113,ARS,933,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 113
23/04/2020,desc 114,ARS,273,Gasto,,Recreación,,nota 114
16/04/2022,desc 115,ARS,450,Gasto,Verdadero,Deporte,,nota 115
24/08/2020,desc 116,ARS,162,Ingreso,Falso,Vivienda,reparaciones,nota 116
03/12/2022,desc 117,USD,470,Gasto,Falso,Belleza,peluquero; manicura,nota 117
28/02/2021,desc 118,ARS,999,Gasto,Verdadero,Educación,universidad; postgrado,nota 118
14/03/2020,desc 119,ARS,420,Gasto,Falso,Vehículo,mecanico,nota 119
24/08/2022,desc 120,ARS,439,Gasto,Verdadero,Transporte,sube,nota 120
03/01/2022,desc 121,ARS,863,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 121
05/06/2021,desc 122,USD,148,Gasto,Falso,Recreación,,nota 122
05/05/2022,desc 123,ARS,850,Ingreso,Verdadero,Deporte,,nota 123
22/03/2021,desc 124,ARS,325,Gasto,,Vivienda,reparaciones,nota 124
21/12/2020,desc 125,ARS,905,Gasto,Falso,Belleza,peluquero; manicura,nota 125
03/02/2022,desc 126,ARS,575,Gasto,Verdadero,Educación,universidad; postgrado,nota 126
22/07/2020,desc 127,ARS,345,Gasto,Falso,Vehículo,mecanico,nota 127
22/02/2022,desc 128,ARS,960,Gasto,,Transporte,sube,nota 128
27/09/2020,desc 129,ARS,85,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 129
17/06/2022,desc 130,USD,730,Ingreso,Falso,Recreación,,nota 130
25/12/2022,desc 131,ARS,535,Gasto,,Deporte,,nota 131
25/12/2021,desc 132,ARS,843,Gasto,Verdadero,Vivienda,reparaciones,nota 132
19/02/2021,desc 133,ARS,115,Gasto,Falso,Belleza,peluquero; manicura,nota 133
08/04/2020,desc 134,ARS,927,Gasto,Falso,Educación,universidad; postgrado,nota 134
22/07/2022,desc 135,USD,674,Gasto,Verdadero,Vehículo,mecanico,nota 135
04/07/2020,desc 136,ARS,139,Gasto,Falso,Transporte,sube,nota 136
08/01/2021,desc 137,ARS,313,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 137
24/09/2021,desc 138,ARS,787,Gasto,,Recreación,,nota 138
13/08/2021,desc 139,ARS,648,Gasto,Verdadero,Deporte,,nota 139
06/05/2020,desc 140,ARS,663,Gasto,Verdadero,Vivienda,reparaciones,nota 140
10/11/2020,desc 141,ARS,972,Gasto,Verdadero,Belleza,peluquero; manicura,nota 141
25/06/2021,desc 142,ARS,418,Gasto,Falso,Educación,universidad; postgrado,nota 142
09/08/2020,desc 143,USD,633,Gasto,Verdadero,Vehículo,mecanico,nota 143
11/10/2021,desc 144,ARS,888,Ingreso,Falso,Transporte,sube,nota 144
26/10/2022,desc 145,ARS,718,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 145
02/04/2020,desc 146,ARS,883,Gasto,Verdadero,Recreación,,nota 146
14/12/2020,desc 147,ARS,902,Gasto,Falso,Deporte,,nota 147
09/09/2020,desc 148,USD,325,Gasto,,Vivienda,reparaciones,nota 148
23/06/2021,desc 149,ARS,731,Gasto,Verdadero,Belleza,peluquero; manicura,nota 149
24/06/2022,desc 150,ARS,832,Gasto,Falso,Educación,universidad; postgrado,nota 150
17/10/2021,desc 151,ARS,45,Ingreso,Falso,Vehículo,mecanico,nota 151
18/06/2022,desc 152,ARS,470,Gasto,Verdadero,Transporte,sube,nota 152
10/06/2020,desc 153,ARS,618,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 153
05/06/2021,desc 154,ARS,713,Gasto,Verdadero,Recreación,,nota 154
09/10/2022,desc 155,ARS,176,Gasto,,Deporte,,nota 155
13/01/2020,desc 156,USD,65,Gasto,Falso,Vivienda,reparaciones,nota 156
11/10/2021,desc 157,ARS,675,Gasto,Verdadero,Belleza,peluquero; manicura,nota 157
01/09/2021,desc 158,ARS,887,Ingreso,,Educación,universidad; postgrado,nota 158
11/06/2022,desc 159,ARS,542,Gasto,Falso,Vehículo,mecanico,nota 159
11/08/2022,desc 160,ARS,853,Gasto,Verdadero,Transporte,sube,nota 160
07/12/2022,desc 161,USD,255,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 161
03/06/2020,desc 162,ARS,73,Gasto,,Recreación,,nota 162
07/10/2021,desc 163,ARS,304,Gasto,Verdadero,Deporte,,nota 163
10/03/2021,desc 164,ARS,95,Gasto,Falso,Vivienda,reparaciones,nota 164
10/05/2022,desc 165,ARS,973,Ingreso,,Belleza,peluquero; manicura,nota 165
13/10/2020,desc 166,ARS,986,Gasto,Verdadero,Educación,universidad; postgrado,nota 166
11/09/2022,desc 167,ARS,172,Gasto,Falso,Vehículo,mecanico,nota 167
08/01/2021,desc 168,ARS,129,Gasto,Falso,Transporte,sube,nota 168
06/09/2021,desc 169,USD,494,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 169
20/08/2020,desc 170,ARS,748,Gasto,Falso,Recreación,,nota 170
04/09/2022,desc 171,ARS,7,Gasto,Verdadero,Deporte,,nota 171
11/11/2022,desc 172,ARS,905,Ingreso,,Vivienda,reparaciones,nota 172
22/11/2020,desc 173,ARS,766,Gasto,Verdadero,Belleza,peluquero; manicura,nota 173
08/03/2021,desc 174,USD,616,Gasto,Verdadero,Educación,universidad; postgrado,nota 174
22/02/2022,desc 175,ARS,450,Gasto,Verdadero,Vehículo,mecanico,nota 175
14/03/2021,desc 176,ARS,976,Gasto,Falso,Transporte,sube,nota 176
27/11/2020,desc 177,ARS,607,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 177
21/04/2021,desc 178,ARS,843,Gasto,Falso,Recreación,,nota 178
02/03/2022,desc 179,ARS,155,Ingreso,,Deporte,,nota 179
20/09/2020,desc 180,ARS,689,Gasto,Verdadero,Vivienda,reparaciones,nota 180
05/02/2022,desc 181,ARS,740,Gasto,Falso,Belleza,peluquero; manicura,nota 181
06/11/2020,desc 182,USD,60,Gasto,,Educación,universidad; postgrado,nota 182
22/12/2021,desc 183,ARS,192,Gasto,Verdadero,Vehículo,mecanico,nota 183
05/11/2020,desc 184,ARS,382,Gasto,Falso,Transporte,sube,nota 184
04/01/2021,desc 185,ARS,503,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 185
17/08/2022,desc 186,ARS,348,Ingreso,Verdadero,Recreación,,nota 186
27/02/2020,desc 187,USD,799,Gasto,Falso,Deporte,,nota 187
10/02/2022,desc 188,ARS,242,Gasto,Verdadero,Vivienda,reparaciones,nota 188
18/07/2021,desc 189,ARS,669,Gasto,,Belleza,peluquero; manicura,nota 189
03/08/2022,desc 190,ARS,332,Gasto,Falso,Educación,universidad; postgrado,nota 190
12/12/2020,desc 191,ARS,671,Gasto,Verdadero,Vehículo,mecanico,nota 191
21/09/2022,desc 192,ARS,112,Gasto,,Transporte,sube,nota 192
01/07/2021,desc 193,ARS,37,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 193
23/07/2022,desc 194,ARS,981,Gasto,Verdadero,Recreación,,nota 194
16/06/2021,desc 195,USD,671,Gasto,Falso,Deporte,,nota 195
22/11/2022,desc 196,ARS,922,Gasto,,Vivienda,reparaciones,nota 196
10/09/2020,desc 197,ARS,711,Gasto,Verdadero,Belleza,peluquero; manicura,nota 197
19/01/2022,desc 198,ARS,489,Gasto,Falso,Educación,universidad; postgrado,nota 198
21/02/2022,desc 199,ARS,937,Gasto,,Vehículo,mecanico,nota 199
04/09/2021,desc 200,USD,632,Ingreso,Verdadero,Transporte,sube,nota 200
13/08/2022,desc 201,ARS,282,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 201
03/04/2020,desc 202,ARS,574,Gasto,Falso,Recreación,,nota 202
13/12/2022,desc 203,ARS,79,Gasto,Verdadero,Deporte,,nota 203
07/07/2021,desc 204,ARS,527,Gasto,Falso,Vivienda,reparaciones,nota 204
05/03/2021,desc 205,ARS,436,Gasto,Verdadero,Belleza,peluquero; manicura,nota 205
23/07/2020,desc 206,ARS,734,Gasto,,Educación,universidad; postgrado,nota 206
15/06/2022,desc 207,ARS,349,Ingreso,Verdadero,Vehículo,mecanico,nota 207
15/06/2020,desc 208,USD,463,Gasto,Verdadero,Transporte,sube,nota 208
20/10/2021,desc 209,ARS,881,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 209
27/06/2020,desc 210,ARS,562,Gasto,Falso,Recreación,,nota 210
14/12/2021,desc 211,ARS,413,Gasto,Verdadero,Deporte,,nota 211
18/02/2020,desc 212,ARS,188,Gasto,Falso,Vivienda,reparaciones,nota 212
10/04/2021,desc 213,USD,850,Gasto,,Belleza,peluquero; manicura,nota 213
21/04/2021,desc 214,ARS,975,Ingreso,Verdadero,Educación,universidad; postgrado,nota 214
25/04/2021,desc 215,ARS,650,Gasto,Falso,Vehículo,mecanico,nota 215
19/08/2020,desc 216,ARS,194,Gasto,,Transporte,sube,nota 216
16/02/2022,desc 217,ARS,873,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 217
16/11/2020,desc 218,ARS,332,Gasto,Falso,Recreación,,nota 218
09/05/2022,desc 219,ARS,674,Gasto,Falso,Deporte,,nota 219
09/09/2020,desc 220,ARS,618,Gasto,Verdadero,Vivienda,reparaciones,nota 220
09/04/2020,desc 221,USD,928,Ingreso,Falso,Belleza,peluquero; manicura,nota 221
22/09/2022,desc 222,ARS,737,Gasto,Verdadero,Educación,universidad; postgrado,nota 222
15/06/2022,desc 223,ARS,138,Gasto,,Vehículo,mecanico,nota 223
03/09/2022,desc 224,ARS,624,Gasto,Falso,Transporte,sube,nota 224
16/03/2021,desc 225,ARS,609,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 225
28/08/2022,desc 226,USD,497,Gasto,,Recreación,,nota 226
15/12/2022,desc 227,ARS,742,Gasto,Falso,Deporte,,nota 227
16/08/2021,desc 228,ARS,323,Ingreso,Verdadero,Vivienda,reparaciones,nota 228
20/08/2021,desc 229,ARS,386,Gasto,Falso,Belleza,peluquero; manicura,nota 229
06/06/2022,desc 230,ARS,607,Gasto,,Educación,universidad; postgrado,nota 230
11/11/2021,desc 231,ARS,755,Gasto,Verdadero,Vehículo,mecanico,nota 231
05/12/2020,desc 232,ARS,750,Gasto,Falso,Transporte,sube,nota 232
22/03/2022,desc 233,ARS,645,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 233
13/08/2021,desc 234,USD,355,Gasto,Verdadero,Recreación,,nota 234
21/01/2022,desc 235,ARS,310,Ingreso,Falso,Deporte,,nota 235
23/11/2021,desc 236,ARS,617,Gasto,Falso,Vivienda,reparaciones,nota 236
22/11/2022,desc 237,ARS,721,Gasto,Verdadero,Belleza,peluquero; manicura,nota 237
17/08/2020,desc 238,ARS,601,Gasto,Falso,Educación,universidad; postgrado,nota 238
06/03/2021,desc 239,USD,170,Gasto,Verdadero,Vehículo,mecanico,nota 239
25/03/2021,desc 240,ARS,582,Gasto,,Transporte,sube,nota 240
12/04/2021,desc 241,ARS,739,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 241
20/04/2022,desc 242,ARS,84,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 242
23/08/2020,desc 243,ARS,683,Gasto,,Recreación,,nota 243
21/05/2021,desc 244,ARS,538,Gasto,Verdadero,Deporte,,nota 244
13/03/2022,desc 245,ARS,760,Ingreso,Verdadero,Vivienda,reparaciones,nota 245
08/07/2022,desc 246,USD,126,Gasto,Verdadero,Belleza,peluquero; manicura,nota 246
28/08/2022,desc 247,ARS,148,Gasto,Falso,Educación,universidad; postgrado,nota 247
24/08/2021,desc 248,ARS,1,Gasto,Verdadero,Vehículo,mecanico,nota 248
13/05/2022,desc 249,ARS,322,Gasto,Falso,Transporte,sube,nota 249
10/07/2020,desc 250,ARS,450,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 250
15/03/2020,desc 251,ARS,874,Gasto,Verdadero,Recreación,,nota 251
11/05/2020,desc 252,ARS,20,Ingreso,Falso,Deporte,,nota 252
18/05/2020,desc 253,ARS,224,Gasto,,Vivienda,reparaciones,nota 253
08/03/2021,desc 254,USD,443,Gasto,Verdadero,Belleza,peluquero; manicura,nota 254
09/09/2022,desc 255,ARS,805,Gasto,Falso,Educación,universidad; postgrado,nota 255
08/03/2020,desc 256,ARS,143,Gasto,Falso,Vehículo,mecanico,nota 256
11/08/2020,desc 257,ARS,95,Gasto,Verdadero,Transporte,sube,nota 257
21/02/2022,desc 258,ARS,64,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 258
28/01/2020,desc 259,USD,704,Ingreso,Verdadero,Recreación,,nota 259
26/02/2020,desc 260,ARS,912,Gasto,,Deporte,,nota 260
15/04/2022,desc 261,ARS,58,Gasto,Falso,Vivienda,reparaciones,nota 261
13/12/2022,desc 262,ARS,798,Gasto,Verdadero,Belleza,peluquero; manicura,nota 262
05/04/2022,desc 263,ARS,529,Gasto,,Educación,universidad; postgrado,nota 263
23/10/2021,desc 264,ARS,11,Gasto,Falso,Vehículo,mecanico,nota 264
12/09/2022,desc 265,ARS,598,Gasto,Verdadero,Transporte,sube,nota 265
02/01/2020,desc 266,ARS,485,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 266
05/03/2020,desc 267,USD,827,Gasto,,Recreación,,nota 267
08/10/2022,desc 268,ARS,688,Gasto,Verdadero,Deporte,,nota 268
11/11/2021,desc 269,ARS,537,Gasto,Falso,Vivienda,reparaciones,nota 269
09/08/2021,desc 270,ARS,617,Gasto,,Belleza,peluquero; manicura,nota 270
02/10/2022,desc 271,ARS,667,Gasto,Verdadero,Educación,universidad; postgrado,nota 271
07/11/2022,desc 272,USD,314,Gasto,Falso,Vehículo,mecanico,nota 272
14/09/2020,desc 273,ARS,913,Ingreso,Falso,Transporte,sube,nota 273
06/02/2020,desc 274,ARS,678,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 274
21/01/2021,desc 275,ARS,896,Gasto,Falso,Recreación,,nota 275
11/10/2020,desc 276,ARS,962,Gasto,Verdadero,Deporte,,nota 276
20/12/2021,desc 277,ARS,400,Gasto,,Vivienda,reparaciones,nota 277
14/06/2022,desc 278,ARS,438,Gasto,Verdadero,Belleza,peluquero; manicura,nota 278
25/05/2022,desc 279,ARS,267,Gasto,Verdadero,Educación,universidad; postgrado,nota 279
18/07/2021,desc 280,USD,736,Ingreso,Verdadero,Vehículo,mecanico,nota 280
05/09/2020,desc 281,ARS,857,Gasto,Falso,Transporte,sube,nota 281
02/07/2021,desc 282,ARS,645,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 282
15/10/2022,desc 283,ARS,284,Gasto,Falso,Recreación,,nota 283
10/01/2022,desc 284,ARS,130,Gasto,,Deporte,,nota 284
17/01/2020,desc 285,USD,513,Gasto,Verdadero,Vivienda,reparaciones,nota 285
20/01/2021,desc 286,ARS,485,Gasto,Falso,Belleza,peluquero; manicura,nota 286
01/03/2021,desc 287,ARS,464,Ingreso,,Educación,universidad; postgrado,nota 287
18/02/2020,desc 288,ARS,114,Gasto,Verdadero,Vehículo,mecanico,nota 288
11/04/2022,desc 289,ARS,299,Gasto,Falso,Transporte,sube,nota 289
06/10/2021,desc 290,ARS,234,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 290
26/04/2020,desc 291,ARS,75,Gasto,Verdadero,Recreación,,nota 291
18/01/2020,desc 292,ARS,768,Gasto,Falso,Deporte,,nota 292
10/08/2020,desc 293,USD,814,Gasto,Verdadero,Vivienda,reparaciones,nota 293
21/04/2020,desc 294,ARS,45,Ingreso,,Belleza,peluquero; manicura,nota 294
10/06/2020,desc 295,ARS,305,Gasto,Falso,Educación,universidad; postgrado,nota 295
12/09/2021,desc 296,ARS,253,Gasto,Verdadero,Vehículo,mecanico,nota 296
10/12/2022,desc 297,ARS,491,Gasto,,Transporte,sube,nota 297
20/06/2022,desc 298,USD,432,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 298
17/04/2021,desc 299,ARS,253,Gasto,Verdadero,Recreación,,nota 299
19/10/2021,desc 300,ARS,602,Gasto,Falso,Deporte,,nota 300
25/12/2020,desc 301,ARS,556,Ingreso,,Vivienda,reparaciones,nota 301
08/12/2022,desc 302,ARS,58,Gasto,Verdadero,Belleza,peluquero; manicura,nota 302
02/05/2021,desc 303,ARS,98,Gasto,Falso,Educación,universidad; postgrado,nota 303
28/04/2020,desc 304,ARS,336,Gasto,,Vehículo,mecanico,nota 304
23/01/2021,desc 305,ARS,526,Gasto,Verdadero,Transporte,sube,nota 305
04/03/2021,desc 306,USD,670,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 306
13/03/2021,desc 307,ARS,283,Gasto,Falso,Recreación,,nota 307
05/01/2020,desc 308,ARS,172,Ingreso,Verdadero,Deporte,,nota 308
03/07/2021,desc 309,ARS,78,Gasto,Falso,Vivienda,reparaciones,nota 309
